rank,entry,origin,package,n_lines,stdin,want_rc,modes,heap_kb
1,alpha,gnu_fd__alpha,gnu_fd,94,0,0,"m3,m4",
2,array,gnu_fd__array,gnu_fd,226,0,0,"m3,m4",
3,bdiag,gnu_fd__bdiag,gnu_fd,123,0,0,"m3,m4",
4,bdonald,gnu_fd__bdonald,gnu_fd,151,0,0,"m3,m4",
5,bpigeon,gnu_fd__bpigeon,gnu_fd,67,0,0,"m3,m4",
6,bqueens,gnu_fd__bqueens,gnu_fd,74,0,0,"m3,m4",
7,bramsey,gnu_fd__bramsey,gnu_fd,209,0,0,"m3,m4",
8,bridge,gnu_fd__bridge,gnu_fd,239,0,0,"m3,m4",
9,bridge1,gnu_fd__bridge1,gnu_fd,255,0,0,"m3,m4",
10,bschur,gnu_fd__bschur,gnu_fd,86,0,0,"m3,m4",
11,bsend,gnu_fd__bsend,gnu_fd,147,0,0,"m3,m4",
12,cars,gnu_fd__cars,gnu_fd,182,0,0,"m3,m4",
13,crypta,gnu_fd__crypta,gnu_fd,73,0,0,"m3,m4",
14,digit8,gnu_fd__digit8,gnu_fd,74,0,0,"m3,m4",
15,donald,gnu_fd__donald,gnu_fd,72,0,0,"m3,m4",
16,eq10,gnu_fd__eq10,gnu_fd,71,0,0,"m3,m4",
17,eq20,gnu_fd__eq20,gnu_fd,81,0,0,"m3,m4",
18,five,gnu_fd__five,gnu_fd,95,0,0,"m3,m4",
19,gardner,gnu_fd__gardner,gnu_fd,122,0,0,"m3,m4",
20,interval,gnu_fd__interval,gnu_fd,77,0,0,"m3,m4",
21,langford,gnu_fd__langford,gnu_fd,110,0,0,"m3,m4",
22,magic,gnu_fd__magic,gnu_fd,107,0,0,"m3,m4",
23,magsq,gnu_fd__magsq,gnu_fd,94,0,0,"m3,m4",
24,multipl,gnu_fd__multipl,gnu_fd,100,0,0,"m3,m4",
25,partit,gnu_fd__partit,gnu_fd,281,0,0,"m3,m4",
26,qg5,gnu_fd__qg5,gnu_fd,94,0,0,"m3,m4",
27,queens,gnu_fd__queens,gnu_fd,102,0,0,"m3,m4",
28,send,gnu_fd__send,gnu_fd,71,0,0,"m3,m4",
29,square,gnu_fd__square,gnu_fd,201,0,0,"m3,m4",
30,srq,gnu_fd__srq,gnu_fd,157,0,0,"m3,m4",
