rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
1,1brc,dotnet__1brc,dotnet,56,0,0,,
2,SourceLines001,dotnet__SourceLines001,dotnet,3,0,0,,
3,SourceLines002,dotnet__SourceLines002,dotnet,1,0,0,,
4,SourceLines003,dotnet__SourceLines003,dotnet,13,0,0,,
5,Test,dotnet__Test,dotnet,7,0,0,,
6,Test2,dotnet__Test2,dotnet,3,0,0,,
7,asgn1,dotnet__asgn1,dotnet,20,0,0,,
8,chap7,dotnet__chap7,dotnet,39,0,0,,
9,chap8_funcs,dotnet__chap8_funcs,dotnet,60,0,0,,
10,code,dotnet__code,dotnet,139,0,0,,
11,expr_parser_stub,dotnet__expr_parser_stub,dotnet,47,0,0,,
12,palin,dotnet__palin,dotnet,9,0,0,,
13,pattern_demo,dotnet__pattern_demo,dotnet,21,0,0,,
14,temp,dotnet__temp,dotnet,17,0,0,,
